arm,n_train,n_distinct_records,repeat,threshold,test_fp,test_pct_mean
S1_resample,5,5,115,0.5,0.0,1.0
S1_resample,5,5,116,0.5,0.0,1.0
S1_resample,5,4,117,0.5,0.0,1.0
S1_resample,5,5,118,0.5,0.0,1.0
S1_resample,5,4,119,0.5,0.0,1.0
S1_resample,5,5,120,0.5,0.0,1.0
S1_resample,5,5,121,0.5,0.0,1.0
S1_resample,5,4,122,0.5,0.0,1.0
S1_resample,5,5,123,0.5,0.0,1.0
S1_resample,5,5,124,0.5,0.0,1.0
S1_resample,5,5,125,0.5,0.0,1.0
S1_resample,5,4,126,0.5,0.0,1.0
S1_resample,5,4,127,0.5,0.0,1.0
S1_resample,5,5,128,0.5,0.0,1.0
S1_resample,5,5,129,0.5,0.0,1.0
S1_resample,5,5,130,0.5,0.0,1.0
S1_resample,5,5,131,0.5,0.0,1.0
S1_resample,5,5,132,0.5,0.0,1.0
S1_resample,5,5,133,0.5,0.0,1.0
S1_resample,5,5,134,0.5,0.0,1.0
S1_resample,5,4,135,0.5,0.0,1.0
S1_resample,5,5,136,0.5,0.0,1.0
S1_resample,5,5,137,0.5,0.0,1.0
S1_resample,5,4,138,0.5,0.0,1.0
S1_resample,5,5,139,0.5,0.0,1.0
S1_resample,5,5,140,0.5,0.0,1.0
S1_resample,5,4,141,0.5,0.0,1.0
S1_resample,5,5,142,0.5,0.0,1.0
S1_resample,5,4,143,0.5,0.0,1.0
S1_resample,5,4,144,0.5,0.0,1.0
S1_resample,5,4,145,0.5,0.0,1.0
S1_resample,5,4,146,0.5,0.0,1.0
S1_resample,5,5,147,0.5,0.0,1.0
S1_resample,5,4,148,0.5,0.0,1.0
S1_resample,5,5,149,0.5,0.0,1.0
S1_resample,10,9,0,0.5308693225713415,0.375,0.6375000000000001
S1_resample,10,9,1,0.5837272057451122,0.0,0.6333333333333333
S1_resample,10,9,2,0.6181447467967615,0.0,0.7416666666666667
S1_resample,10,8,3,0.5606629831998636,0.041666666666666664,0.8041666666666667
