dataset,held_out,detector,n_test_windows,fp,fp_rate,threshold,seconds,auroc,recall_at_10pct_fp,precision,recall,f1
IMS 1st_test,2003.10.22.12.49.13.txt,D: Isolation Forest,7,0,0.0,0.5854166225815051,0.20375269999931334,,,,,
IMS 1st_test,2003.10.22.12.54.13.txt,A: 3-sigma RMS,7,0,0.0,0.12899054815637603,0.00016029999824240804,,,,,
IMS 1st_test,2003.10.22.12.54.13.txt,B: Mahalanobis,7,0,0.0,3.5046230871474924,0.0003020999974978622,,,,,
IMS 1st_test,2003.10.22.12.54.13.txt,C: One-Class SVM,7,2,0.2857142857142857,0.0003258273031266093,0.001436000002286164,,,,,
IMS 1st_test,2003.10.22.12.54.13.txt,D: Isolation Forest,7,0,0.0,0.5801828761866952,0.20984080000198446,,,,,
IMS 1st_test,2003.10.22.12.59.13.txt,A: 3-sigma RMS,7,0,0.0,0.12899054815637603,0.00015309999798773788,,,,,
IMS 1st_test,2003.10.22.12.59.13.txt,B: Mahalanobis,7,0,0.0,3.372622533715953,0.0002537000000302214,,,,,
IMS 1st_test,2003.10.22.12.59.13.txt,C: One-Class SVM,7,0,0.0,0.0004427873810904228,0.001626199999009259,,,,,
IMS 1st_test,2003.10.22.12.59.13.txt,D: Isolation Forest,7,0,0.0,0.5858066760638228,0.20419000000038068,,,,,
IMS 2nd_test,2004.02.12.10.32.39.txt,A: 3-sigma RMS,7,0,0.0,0.08079437785330923,0.00013519999993150122,,,,,
IMS 2nd_test,2004.02.12.10.32.39.txt,B: Mahalanobis,7,1,0.14285714285714285,3.8062268418258283,0.0002199000009568408,,,,,
IMS 2nd_test,2004.02.12.10.32.39.txt,C: One-Class SVM,7,5,0.7142857142857143,0.00032879874000657874,0.0011995999993814621,,,,,
IMS 2nd_test,2004.02.12.10.32.39.txt,D: Isolation Forest,7,0,0.0,0.6961965153628029,0.19843200000104844,,,,,
IMS 2nd_test,2004.02.12.10.42.39.txt,A: 3-sigma RMS,7,0,0.0,0.08079437785330923,0.00010540000221226364,,,,,
IMS 2nd_test,2004.02.12.10.42.39.txt,B: Mahalanobis,7,2,0.2857142857142857,3.812856913808938,0.00020510000103968196,,,,,
IMS 2nd_test,2004.02.12.10.42.39.txt,C: One-Class SVM,7,6,0.8571428571428571,0.00018127530242605588,0.0011281999977654777,,,,,
IMS 2nd_test,2004.02.12.10.42.39.txt,D: Isolation Forest,7,0,0.0,0.7009898503888462,0.1999474000003829,,,,,
IMS 2nd_test,2004.02.12.10.52.39.txt,A: 3-sigma RMS,7,0,0.0,0.08079437785330923,0.00010169999950448982,,,,,
IMS 2nd_test,2004.02.12.10.52.39.txt,B: Mahalanobis,7,0,0.0,3.899416681785657,0.00020699999731732532,,,,,
IMS 2nd_test,2004.02.12.10.52.39.txt,C: One-Class SVM,7,2,0.2857142857142857,0.0003080417752172298,0.0012707000023510773,,,,,
IMS 2nd_test,2004.02.12.10.52.39.txt,D: Isolation Forest,7,0,0.0,0.7050259692166956,0.21251029999984894,,,,,
IMS 2nd_test,2004.02.12.11.02.39.txt,A: 3-sigma RMS,7,0,0.0,0.08079437785330923,0.00010399999882793054,,,,,
IMS 2nd_test,2004.02.12.11.02.39.txt,B: Mahalanobis,7,2,0.2857142857142857,3.0246734294714894,0.00020330000188550912,,,,,
IMS 2nd_test,2004.02.12.11.02.39.txt,C: One-Class SVM,7,3,0.42857142857142855,0.00033192462236681384,0.0013878000027034432,,,,,
IMS 2nd_test,2004.02.12.11.02.39.txt,D: Isolation Forest,7,2,0.2857142857142857,0.5950857403186494,0.21713349999845377,,,,,
IMS 2nd_test,2004.02.12.11.12.39.txt,A: 3-sigma RMS,7,0,0.0,0.08069705784189082,0.0001311999985773582,,,,,
IMS 2nd_test,2004.02.12.11.12.39.txt,B: Mahalanobis,7,0,0.0,3.851573804297123,0.0002550000026531052,,,,,
IMS 2nd_test,2004.02.12.11.12.39.txt,C: One-Class SVM,7,2,0.2857142857142857,0.00032650673796662683,0.0013012000017624814,,,,,
IMS 2nd_test,2004.02.12.11.12.39.txt,D: Isolation Forest,7,0,0.0,0.6955587530891716,0.21626370000012685,,,,,
IMS 2nd_test,2004.02.12.11.22.39.txt,A: 3-sigma RMS,7,1,0.14285714285714285,0.07988989021621735,0.00010380000094301067,,,,,
IMS 2nd_test,2004.02.12.11.22.39.txt,B: Mahalanobis,7,0,0.0,3.862013417395685,0.00021829999968758784,,,,,
IMS 2nd_test,2004.02.12.11.22.39.txt,C: One-Class SVM,7,1,0.14285714285714285,0.0004665085559285792,0.001371799997286871,,,,,
IMS 2nd_test,2004.02.12.11.22.39.txt,D: Isolation Forest,7,0,0.0,0.7018961731806453,0.19706389999919338,,,,,
IMS 4th_test,2004.03.04.09.27.46.txt,A: 3-sigma RMS,7,0,0.0,0.08236150081357756,0.00011369999992894009,,,,,
IMS 4th_test,2004.03.04.09.27.46.txt,B: Mahalanobis,7,4,0.5714285714285714,3.3726356581533836,0.00024709999706828967,,,,,
IMS 4th_test,2004.03.04.09.27.46.txt,C: One-Class SVM,7,6,0.8571428571428571,0.0003603169387990056,0.001549599997815676,,,,,
IMS 4th_test,2004.03.04.09.27.46.txt,D: Isolation Forest,7,2,0.2857142857142857,0.6335972047484505,0.20909949999986566,,,,,
IMS 4th_test,2004.03.04.09.32.46.txt,A: 3-sigma RMS,7,0,0.0,0.08251603121209942,0.00013600000238511711,,,,,
IMS 4th_test,2004.03.04.09.32.46.txt,B: Mahalanobis,7,3,0.42857142857142855,3.317875437071555,0.00022220000028028153,,,,,
IMS 4th_test,2004.03.04.09.32.46.txt,C: One-Class SVM,7,5,0.7142857142857143,0.0003573711487544742,0.001834200000303099,,,,,
IMS 4th_test,2004.03.04.09.32.46.txt,D: Isolation Forest,7,0,0.0,0.6250984866572233,0.20929030000115745,,,,,
IMS 4th_test,2004.03.04.09.42.46.txt,A: 3-sigma RMS,7,0,0.0,0.08251603121209942,0.00011799999992945231,,,,,
IMS 4th_test,2004.03.04.09.42.46.txt,B: Mahalanobis,7,0,0.0,3.104079782919969,0.0002199000009568408,,,,,
IMS 4th_test,2004.03.04.09.42.46.txt,C: One-Class SVM,7,1,0.14285714285714285,0.0003519406224502548,0.0012496999988798052,,,,,
IMS 4th_test,2004.03.04.09.42.46.txt,D: Isolation Forest,7,0,0.0,0.6077276945505982,0.2023585999995703,,,,,
IMS 4th_test,2004.03.04.09.52.46.txt,A: 3-sigma RMS,7,1,0.14285714285714285,0.08204738479453973,0.00010280000060447492,,,,,
IMS 4th_test,2004.03.04.09.52.46.txt,B: Mahalanobis,7,0,0.0,3.2297474614959336,0.00023920000239741057,,,,,
