batch,held_out,method,hyper,fp_rate,seconds
IMS 1st_test,2003.10.22.12.59.13.txt,D: Isolation Forest (tuned),"(100, 0.5)",0.0,14.342123400001583
IMS 2nd_test,2004.02.12.10.32.39.txt,A: 3-sigma RMS,-,0.0,0.0001416000013705343
IMS 2nd_test,2004.02.12.10.32.39.txt,B: Mahalanobis,-,0.14285714285714285,0.00029210000138846226
IMS 2nd_test,2004.02.12.10.32.39.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.7142857142857143,0.23509629999898607
IMS 2nd_test,2004.02.12.10.32.39.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.0,6.234356499997375
IMS 2nd_test,2004.02.12.10.42.39.txt,A: 3-sigma RMS,-,0.0,0.00012159999823779799
IMS 2nd_test,2004.02.12.10.42.39.txt,B: Mahalanobis,-,0.2857142857142857,0.00023820000205887482
IMS 2nd_test,2004.02.12.10.42.39.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.5714285714285714,0.24210859999948298
IMS 2nd_test,2004.02.12.10.42.39.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.0,6.433580700002494
IMS 2nd_test,2004.02.12.10.52.39.txt,A: 3-sigma RMS,-,0.0,0.0001632999992580153
IMS 2nd_test,2004.02.12.10.52.39.txt,B: Mahalanobis,-,0.0,0.00031829999716137536
IMS 2nd_test,2004.02.12.10.52.39.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.2857142857142857,0.2525363999993715
IMS 2nd_test,2004.02.12.10.52.39.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.0,6.66603970000142
IMS 2nd_test,2004.02.12.11.02.39.txt,A: 3-sigma RMS,-,0.0,0.00012790000255336054
IMS 2nd_test,2004.02.12.11.02.39.txt,B: Mahalanobis,-,0.2857142857142857,0.00021689999994123355
IMS 2nd_test,2004.02.12.11.02.39.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.2857142857142857,0.2582561000017449
IMS 2nd_test,2004.02.12.11.02.39.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.2857142857142857,6.579570999998396
IMS 2nd_test,2004.02.12.11.12.39.txt,A: 3-sigma RMS,-,0.0,0.00017839999782154337
IMS 2nd_test,2004.02.12.11.12.39.txt,B: Mahalanobis,-,0.0,0.0002563999987614807
IMS 2nd_test,2004.02.12.11.12.39.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.14285714285714285,0.254660700000386
IMS 2nd_test,2004.02.12.11.12.39.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.0,6.393125800001144
IMS 2nd_test,2004.02.12.11.22.39.txt,A: 3-sigma RMS,-,0.14285714285714285,0.00012450000212993473
IMS 2nd_test,2004.02.12.11.22.39.txt,B: Mahalanobis,-,0.0,0.00023359999977401458
IMS 2nd_test,2004.02.12.11.22.39.txt,C: One-Class SVM (tuned),"(0.001, 0.1)",0.14285714285714285,0.27172129999962635
IMS 2nd_test,2004.02.12.11.22.39.txt,D: Isolation Forest (tuned),"(200, 0.5)",0.0,6.427672199999506
IMS 4th_test,2004.03.04.09.27.46.txt,A: 3-sigma RMS,-,0.0,0.00011200000153621659
IMS 4th_test,2004.03.04.09.27.46.txt,B: Mahalanobis,-,0.5714285714285714,0.00023080000028130598
