replicate,rms_test_fp,rms_val_fp,default_forest_test_fp,default_forest_test_pct
0,0.0,0.0,0.07142857142857142,0.6282798833819241
1,0.0,0.0,0.0,0.6501457725947521
2,0.0,0.047619047619047616,0.07142857142857142,0.6618075801749271
3,0.0,0.0,0.07142857142857142,0.641399416909621
4,0.0,0.0,0.07142857142857142,0.6720116618075801
5,0.0,0.047619047619047616,0.07142857142857142,0.6559766763848397
6,0.0,0.0,0.07142857142857142,0.6413994169096211
7,0.0,0.0,0.07142857142857142,0.6399416909620992
8,0.0,0.0,0.07142857142857142,0.6282798833819242
9,0.0,0.0,0.07142857142857142,0.6472303206997084
10,0.0,0.0,0.07142857142857142,0.6705539358600582
11,0.0,0.0,0.07142857142857142,0.6384839650145773
12,0.0,0.047619047619047616,0.0,0.653061224489796
13,0.0,0.0,0.07142857142857142,0.6588921282798833
14,0.0,0.047619047619047616,0.07142857142857142,0.7040816326530612
15,0.0,0.047619047619047616,0.07142857142857142,0.6836734693877551
16,0.0,0.0,0.07142857142857142,0.6282798833819242
17,0.0,0.0,0.0,0.6341107871720117
18,0.0,0.047619047619047616,0.07142857142857142,0.6924198250728864
19,0.0,0.09523809523809523,0.0,0.6588921282798834
20,0.0,0.09523809523809523,0.07142857142857142,0.6938775510204082
21,0.0,0.09523809523809523,0.0,0.6793002915451896
22,0.0,0.0,0.07142857142857142,0.6749271137026238
23,0.0,0.0,0.07142857142857142,0.642857142857143
24,0.0,0.047619047619047616,0.07142857142857142,0.6516034985422741
25,0.0,0.0,0.14285714285714285,0.6224489795918368
26,0.0,0.047619047619047616,0.07142857142857142,0.7011661807580175
27,0.0,0.0,0.07142857142857142,0.6501457725947523
28,0.0,0.0,0.07142857142857142,0.6516034985422742
29,0.0,0.0,0.07142857142857142,0.6443148688046648
30,0.0,0.0,0.0,0.6472303206997086
31,0.0,0.09523809523809523,0.0,0.664723032069971
32,0.0,0.0,0.0,0.6195335276967932
33,0.0,0.0,0.07142857142857142,0.6413994169096211
34,0.0,0.0,0.07142857142857142,0.6545189504373177
35,0.0,0.0,0.07142857142857142,0.6559766763848397
36,0.0,0.0,0.07142857142857142,0.6807580174927113
37,0.0,0.0,0.07142857142857142,0.6865889212827989
38,0.0,0.0,0.07142857142857142,0.6501457725947523
39,0.0,0.0,0.07142857142857142,0.6253644314868805
40,0.0,0.0,0.07142857142857142,0.6822157434402332
41,0.0,0.047619047619047616,0.07142857142857142,0.6720116618075801
42,0.0,0.0,0.0,0.6559766763848397
43,0.0,0.047619047619047616,0.07142857142857142,0.6690962099125365
44,0.0,0.0,0.07142857142857142,0.6530612244897959
45,0.0,0.047619047619047616,0.07142857142857142,0.6749271137026239
46,0.0,0.0,0.0,0.6705539358600584
47,0.0,0.047619047619047616,0.14285714285714285,0.7157434402332361
48,0.0,0.0,0.07142857142857142,0.6778425655976676
49,0.0,0.0,0.07142857142857142,0.6472303206997084
