arm,n_train,sd_fp,mean_fp,n_distinct,n_repeat,sd_ideal,n_eff,efficiency
S1_resample,5,0.0,0.0,4.526666666666666,150,0.044497190922573995,inf,inf
S1_resample,10,0.23407669619531787,0.1275,7.973333333333334,150,0.03146426544510456,0.18068364217877467,0.018068364217877466
S1_resample,20,0.16548424711359738,0.09277777777777778,12.653333333333334,150,0.022248595461286998,0.361511300717074,0.0180755650358537
S1_resample,40,0.16066273847930607,0.11388888888888889,17.32,150,0.01573213272255228,0.3835348781221792,0.009588371953054479
S1_resample,60,0.1817520443288004,0.19611111111111112,19.16,150,0.012845232578665135,0.2996929907069495,0.0049948831784491585
S1_resample,80,0.1792040567613678,0.20166666666666666,19.613333333333333,150,0.011124297730643499,0.3082758620689659,0.003853448275862074
S1_resample,96,0.18037061026392262,0.20166666666666666,19.82,150,0.010155048005794955,0.30430118617844276,0.003169804022692112
S2_new_records,5,0.0,0.0,5.0,150,0.044497190922573995,inf,inf
S2_new_records,10,0.0723590455233687,0.051666666666666666,10.0,150,0.03146426544510456,1.8908171621862224,0.18908171621862224
S2_new_records,20,0.04693236919387974,0.03833333333333333,20.0,150,0.022248595461286998,4.494591620820998,0.2247295810410499
S2_new_records,40,0.020969910263645003,0.009166666666666667,40.0,150,0.01573213272255228,22.513449920508783,0.5628362480127196
S2_new_records,60,0.009928435199131617,0.0025,60.0,150,0.012845232578665135,100.43234042553206,1.6738723404255345
S2_new_records,80,0.0047950799210406585,0.0005555555555555556,80.0,150,0.011124297730643499,430.56972972973017,5.382121621621627
S2_new_records,96,0.0,0.0,96.0,150,0.010155048005794955,inf,inf
