dataset,run,window_sec,held_out,feature_group,scheme,n_train_windows,delta,condition_number,threshold,inflation_ratio,fp,n_windows,fp_rate
IMS 1st_test,1st_test,0.5,2003.10.22.12.19.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.79409601077509,1.9822011575419578,0.5785138138150652,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.19.13.txt,RMS + centroid (problem),empirical,33,0.0,1483380636.7511094,2.4495083274358147,0.2748202822721244,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.19.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.1044,18.160778666114467,2.325567527368821,0.21737415947332306,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.19.13.txt,RMS + centroid (problem),cond_target,33,0.02,98.99999339346952,2.275474713621129,0.21737417696449124,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.19.13.txt,crest + centroid (counterexample),empirical,33,0.0,5801.535236594043,2.590848551571079,0.19055452073477788,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.19.13.txt,crest + centroid (counterexample),ledoit_wolf,33,0.1044,18.09370928315815,2.326191779209512,0.21732066767107908,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.19.13.txt,crest + centroid (counterexample),cond_target,33,0.02,97.33913372142541,2.2785528534677053,0.2170921981949002,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,RMS + kurtosis (control),empirical,33,0.0,52227.98972273471,2.397426904226066,0.3399336300293483,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0536,36.283591318845716,1.9387243588828083,0.4151267163585725,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.81271615179988,1.9222999541906507,0.4151187284601017,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,RMS + centroid (problem),empirical,33,0.0,1466260116.6568685,2.4617636307141875,0.38388781781171905,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.112,16.85106821223973,2.3593489966298873,0.3880780172106618,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,RMS + centroid (problem),cond_target,33,0.02,98.99999331632961,2.303860634130879,0.38807803547885916,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,crest + centroid (counterexample),empirical,33,0.0,5689.22035466898,2.584951858393086,0.37737043118760644,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,crest + centroid (counterexample),ledoit_wolf,33,0.1121,16.791669195129227,2.3598957504578513,0.38810381064660626,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.24.13.txt,crest + centroid (counterexample),cond_target,33,0.02,97.30690619922666,2.306717517709197,0.3882629570919787,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,RMS + kurtosis (control),empirical,33,0.0,46110.77446944279,2.4918915527261434,0.6550044135711963,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0457,42.71155207638575,1.8069063692593588,0.7142795444526224,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,RMS + kurtosis (control),cond_target,33,0.02,98.7879236565744,1.795967444522616,0.7142253646296677,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,RMS + centroid (problem),empirical,33,0.0,1205559023.9682324,2.250602105651848,0.5438556643886365,1,3,0.3333333333333333
IMS 1st_test,1st_test,0.5,2003.10.22.12.29.13.txt,RMS + centroid (problem),ledoit_wolf,33,0.0859,22.29007575320562,2.040735864564991,0.3942621292950143,1,3,0.3333333333333333
