cfg,val_fp,val_pct_mean,test_fp,test_pct_mean,test_pct_max,test_pct_q90,n_tied_at_min,seconds,design,method,replicate,fit_files,val_files,test_files,test_windows
"(200, 0.5)",0.0,0.3780369290573372,0.07142857142857142,0.6122448979591838,0.9795918367346939,0.9612244897959185,6,1.0460254999998142,A,forest,0,7,3,2,14
"(200, 0.5)",0.0,0.48882410106899904,0.0,0.6268221574344024,0.9795918367346939,0.9122448979591837,5,1.0306430999999066,A,forest,1,7,3,2,14
"(200, 0.5)",0.0,0.5150631681243926,0.0,0.663265306122449,0.9795918367346939,0.9591836734693877,5,1.016954700000042,A,forest,2,7,3,2,14
"(200, 0.5)",0.0,0.47327502429543244,0.0,0.6268221574344024,0.9591836734693877,0.8775510204081632,6,1.0340181999999913,A,forest,3,7,3,2,14
"(200, 0.5)",0.0,0.5889212827988338,0.0,0.6443148688046648,0.9591836734693877,0.9326530612244899,5,1.0914509000003818,A,forest,4,7,3,2,14
"(200, 0.5)",0.0,0.5218658892128281,0.0,0.6399416909620992,0.9795918367346939,0.9591836734693877,6,1.03015379999988,A,forest,5,7,3,2,14
"(200, 0.5)",0.0,0.5228377065111759,0.0,0.6195335276967929,0.9591836734693877,0.8714285714285714,6,1.0209743000000344,A,forest,6,7,3,2,14
"(200, 0.5)",0.0,0.5257531584062197,0.0,0.6253644314868804,0.9387755102040817,0.8979591836734694,6,1.0319312999999966,A,forest,7,7,3,2,14
"(200, 0.5)",0.0,0.3790087463556851,0.07142857142857142,0.6093294460641401,1.0,0.9285714285714286,6,1.0262877999998636,A,forest,8,7,3,2,14
"(200, 0.5)",0.0,0.5228377065111759,0.07142857142857142,0.6428571428571429,1.0,0.9591836734693877,6,0.9961355999998887,A,forest,9,7,3,2,14
"(200, 0.5)",0.0,0.5189504373177842,0.0,0.641399416909621,0.9591836734693877,0.9469387755102041,6,1.0175666000000092,A,forest,10,7,3,2,14
"(200, 0.5)",0.0,0.49854227405247814,0.0,0.6486880466472302,0.9183673469387755,0.9061224489795919,6,1.039440200000172,A,forest,11,7,3,2,14
"(200, 0.5)",0.0,0.43828960155490776,0.07142857142857142,0.6399416909620992,1.0,0.9387755102040817,6,1.0118741000001137,A,forest,12,7,3,2,14
"(200, 0.5)",0.0,0.3955296404275997,0.0,0.6282798833819242,0.9795918367346939,0.9122448979591837,6,1.0019067000002906,A,forest,13,7,3,2,14
