arm,n_replicates,modal_cfg,modal_share,modal_share_lo,modal_share_hi,n_distinct_cfg,entropy_norm,tie_share,test_fp_mean,test_fp_std,test_fp_min,test_fp_max,test_pct_mean_mean,test_pct_mean_std,val_fp_mean,seconds_total
"forest / design A (R=50, frozen)",50,"(200, 0.5)",0.88,0.7619492111337642,0.9438247628937535,4,0.35222930766531685,0.92,0.03857142857142857,0.041348570590520016,0.0,0.14285714285714285,0.6425655976676385,0.02532059001011354,0.011428571428571429,52.74075400000038
forest / design A (R=200),200,"(200, 0.5)",0.83,0.7718399896049648,0.8757216464889435,6,0.39109304946877815,0.895,0.042142857142857135,0.041870676167404065,0.0,0.21428571428571427,0.6484620991253643,0.026671798154581997,0.010238095238095237,211.69652410000208
"forest / design B (R=50, test resampled)",50,"(200, 0.5)",0.66,0.5215356854148285,0.7756323036493895,5,0.6491439225809694,0.86,0.028571428571428567,0.04563404035713856,0.0,0.14285714285714285,0.5540524781341107,0.08738063541126595,0.011428571428571429,53.550325599999724
"OC-SVM / design A (R=50, secondary)",50,"(0.001, 0.1)",0.9,0.7863950966521162,0.956524876008429,3,0.357163436218319,0.8,0.40285714285714286,0.07603239187835575,0.2857142857142857,0.5714285714285714,0.6628862973760933,0.03966297317348272,0.1876190476190476,1.785116900000503
