n_train,n_train_actual,repeat,threshold,test_fp,test_pct_mean,variant
10,10,0,0.5310114654444087,0.07142857142857142,0.7071428571428571,V1_window
10,10,1,0.5430476927661188,0.0,0.6571428571428571,V1_window
10,10,2,0.5375322080217667,0.0,0.5357142857142857,V1_window
10,10,3,0.558369003140348,0.0,0.6928571428571428,V1_window
10,10,4,0.5516883159139053,0.0,0.65,V1_window
10,10,5,0.5053572967701101,0.21428571428571427,0.5928571428571427,V1_window
10,10,6,0.523019530932058,0.07142857142857142,0.6285714285714287,V1_window
10,10,7,0.5421838948906067,0.07142857142857142,0.642857142857143,V1_window
10,10,8,0.5183821221126426,0.14285714285714285,0.642857142857143,V1_window
10,10,9,0.5460356834415638,0.07142857142857142,0.7499999999999999,V1_window
10,10,10,0.5239115416423866,0.0,0.7214285714285715,V1_window
10,10,11,0.5443549535026492,0.14285714285714285,0.6928571428571427,V1_window
10,10,12,0.5565845405136082,0.0,0.65,V1_window
10,10,13,0.5045218588731185,0.35714285714285715,0.6785714285714285,V1_window
10,10,14,0.49955637982770845,0.2857142857142857,0.6071428571428571,V1_window
10,10,15,0.5447469359179083,0.07142857142857142,0.6571428571428573,V1_window
10,10,16,0.5206370389531888,0.2857142857142857,0.6214285714285717,V1_window
10,10,17,0.5309124497292195,0.07142857142857142,0.5571428571428572,V1_window
10,10,18,0.5187481680115484,0.21428571428571427,0.7428571428571429,V1_window
10,10,19,0.5239868727116247,0.14285714285714285,0.5785714285714285,V1_window
10,10,20,0.5659164391125522,0.0,0.7571428571428572,V1_window
10,10,21,0.5061771218708292,0.21428571428571427,0.7,V1_window
10,10,22,0.5485962383488883,0.07142857142857142,0.6571428571428571,V1_window
10,10,23,0.5397825694133644,0.0,0.6285714285714287,V1_window
10,10,24,0.5275238213857751,0.0,0.65,V1_window
10,10,25,0.548698552108752,0.0,0.5928571428571427,V1_window
10,10,26,0.5387804038583562,0.0,0.6428571428571429,V1_window
10,10,27,0.5401039254488118,0.0,0.6785714285714286,V1_window
10,10,28,0.5407810097560787,0.0,0.5285714285714286,V1_window
10,10,29,0.5686548282604743,0.0,0.7500000000000001,V1_window
10,10,30,0.5262276106047842,0.14285714285714285,0.692857142857143,V1_window
10,10,31,0.5133467213897763,0.07142857142857142,0.55,V1_window
10,10,32,0.5551246100990276,0.0,0.6714285714285714,V1_window
10,10,33,0.5652884360777904,0.0,0.6642857142857143,V1_window
10,10,34,0.5239796594660743,0.35714285714285715,0.742857142857143,V1_window
10,10,35,0.5334652471859244,0.07142857142857142,0.7142857142857143,V1_window
10,10,36,0.5504223410820767,0.14285714285714285,0.7071428571428571,V1_window
10,10,37,0.5419828618774638,0.14285714285714285,0.7071428571428572,V1_window
10,10,38,0.5251343553543091,0.21428571428571427,0.7071428571428572,V1_window
10,10,39,0.550260566495342,0.2857142857142857,0.7642857142857143,V1_window
10,10,40,0.5348373166268457,0.0,0.5357142857142857,V1_window
10,10,41,0.530077336205424,0.07142857142857142,0.6142857142857142,V1_window
10,10,42,0.5447469359179083,0.0,0.5214285714285715,V1_window
10,10,43,0.5405043887166586,0.0,0.7142857142857143,V1_window
10,10,44,0.5480749132585973,0.07142857142857142,0.7214285714285715,V1_window
10,10,45,0.5550701146705126,0.0,0.5285714285714287,V1_window
10,10,46,0.5336857295759995,0.0,0.5785714285714286,V1_window
10,10,47,0.5365045691333375,0.0,0.4928571428571428,V1_window
10,10,48,0.5143351813510956,0.42857142857142855,0.7142857142857143,V1_window
10,10,49,0.5175443484703092,0.21428571428571427,0.6214285714285716,V1_window
10,10,50,0.5329823799732019,0.0,0.6142857142857142,V1_window
10,10,51,0.5374855729217017,0.14285714285714285,0.7857142857142858,V1_window
10,10,52,0.535747534750511,0.0,0.6428571428571429,V1_window
10,10,53,0.5022726658827164,0.42857142857142855,0.75,V1_window
10,10,54,0.5317464760254281,0.0,0.6142857142857142,V1_window
10,10,55,0.5381847590811337,0.0,0.6714285714285715,V1_window
10,10,56,0.5207739110178204,0.21428571428571427,0.6142857142857144,V1_window
10,10,57,0.520911471970077,0.14285714285714285,0.7000000000000001,V1_window
10,10,58,0.5269735745254376,0.14285714285714285,0.6357142857142858,V1_window
10,10,59,0.5301911581000621,0.2857142857142857,0.7214285714285714,V1_window
10,10,60,0.5399079803297058,0.0,0.5928571428571427,V1_window
10,10,61,0.5703292962591823,0.07142857142857142,0.7357142857142859,V1_window
10,10,62,0.5546391846923919,0.0,0.6214285714285713,V1_window
10,10,63,0.5261465696920018,0.14285714285714285,0.7071428571428572,V1_window
10,10,64,0.5310953617602776,0.0,0.6142857142857141,V1_window
10,10,65,0.5319468030991407,0.0,0.6285714285714284,V1_window
10,10,66,0.5400674132810748,0.0,0.5714285714285714,V1_window
10,10,67,0.5552438103186296,0.07142857142857142,0.7071428571428572,V1_window
10,10,68,0.5218260438873875,0.21428571428571427,0.6857142857142857,V1_window
10,10,69,0.5279648858452,0.14285714285714285,0.6642857142857143,V1_window
10,10,70,0.5054087490453412,0.35714285714285715,0.6071428571428571,V1_window
10,10,71,0.5367011048913736,0.07142857142857142,0.6714285714285715,V1_window
10,10,72,0.5238435251941355,0.14285714285714285,0.692857142857143,V1_window
10,10,73,0.5545291545356958,0.0,0.7214285714285715,V1_window
10,10,74,0.5389715922367218,0.0,0.7785714285714286,V1_window
10,10,75,0.5176767656062768,0.0,0.6357142857142858,V1_window
10,10,76,0.5020722307936806,0.21428571428571427,0.5071428571428571,V1_window
10,10,77,0.5018063732911554,0.35714285714285715,0.6857142857142856,V1_window
10,10,78,0.5143168046700515,0.21428571428571427,0.6428571428571427,V1_window
10,10,79,0.522189886810234,0.14285714285714285,0.6428571428571429,V1_window
10,10,80,0.5433643715919575,0.07142857142857142,0.5357142857142857,V1_window
10,10,81,0.5140437236106012,0.21428571428571427,0.5999999999999999,V1_window
10,10,82,0.5321891761031027,0.07142857142857142,0.7285714285714285,V1_window
10,10,83,0.5199570948173355,0.2857142857142857,0.6785714285714286,V1_window
10,10,84,0.5649649005239746,0.0,0.7571428571428572,V1_window
10,10,85,0.5056908585870459,0.35714285714285715,0.8357142857142856,V1_window
10,10,86,0.5339168076396413,0.0,0.5357142857142857,V1_window
10,10,87,0.5406640105438368,0.0,0.6357142857142858,V1_window
10,10,88,0.5100818972099282,0.21428571428571427,0.5714285714285714,V1_window
10,10,89,0.5216054567043986,0.2857142857142857,0.6285714285714283,V1_window
10,10,90,0.5519458451051696,0.0,0.6428571428571429,V1_window
10,10,91,0.514741764681677,0.21428571428571427,0.6214285714285716,V1_window
10,10,92,0.5266329846515218,0.07142857142857142,0.7357142857142858,V1_window
10,10,93,0.5246242902494358,0.0,0.5214285714285715,V1_window
10,10,94,0.5638746518146495,0.0,0.6571428571428573,V1_window
10,10,95,0.5520365876823446,0.0,0.7428571428571429,V1_window
10,10,96,0.5388491331155616,0.21428571428571427,0.7285714285714286,V1_window
10,10,97,0.5434657455172365,0.0,0.6428571428571429,V1_window
10,10,98,0.5206897671405689,0.2857142857142857,0.7285714285714286,V1_window
10,10,99,0.5510753462230827,0.0,0.6785714285714286,V1_window
10,10,100,0.5217796539403307,0.0,0.6857142857142858,V1_window
10,10,101,0.5267053801267134,0.21428571428571427,0.6285714285714284,V1_window
10,10,102,0.5243717678218494,0.21428571428571427,0.5857142857142857,V1_window
10,10,103,0.5202956616996658,0.0,0.5857142857142857,V1_window
10,10,104,0.5435264771874988,0.07142857142857142,0.5999999999999999,V1_window
10,10,105,0.5047381341629726,0.21428571428571427,0.5714285714285714,V1_window
10,10,106,0.545365304018664,0.0,0.6928571428571428,V1_window
10,10,107,0.5611267760490167,0.0,0.7071428571428574,V1_window
10,10,108,0.5469491896540148,0.0,0.6571428571428571,V1_window
10,10,109,0.5435468210440545,0.0,0.65,V1_window
10,10,110,0.5270793403875097,0.35714285714285715,0.7214285714285715,V1_window
10,10,111,0.49404524867177774,0.35714285714285715,0.6571428571428574,V1_window
10,10,112,0.49224915170877803,0.42857142857142855,0.7357142857142858,V1_window
10,10,113,0.524760627423343,0.2857142857142857,0.6428571428571429,V1_window
10,10,114,0.5240933479907213,0.2857142857142857,0.6714285714285715,V1_window
10,10,115,0.5141332481057188,0.14285714285714285,0.6214285714285713,V1_window
10,10,116,0.5288897649165242,0.0,0.6214285714285716,V1_window
10,10,117,0.5654714002248274,0.0,0.7142857142857144,V1_window
10,10,118,0.5045218588731185,0.2857142857142857,0.6714285714285714,V1_window
10,10,119,0.5352628317717184,0.0,0.35,V1_window
10,10,120,0.5214405824393922,0.0,0.5428571428571428,V1_window
10,10,121,0.5432713735936736,0.0,0.7500000000000001,V1_window
