regime,fold,arm,n_train,k_bearings,repeat,test_fp
R1_within_bearing,all,S1_resample,10,,99,0.0
R1_within_bearing,all,S1_resample,20,,0,0.0
R1_within_bearing,all,S1_resample,20,,1,0.041666666666666664
R1_within_bearing,all,S1_resample,20,,2,0.0
R1_within_bearing,all,S1_resample,20,,3,0.0
R1_within_bearing,all,S1_resample,20,,4,0.08333333333333333
R1_within_bearing,all,S1_resample,20,,5,0.08333333333333333
R1_within_bearing,all,S1_resample,20,,6,0.0
R1_within_bearing,all,S1_resample,20,,7,0.041666666666666664
R1_within_bearing,all,S1_resample,20,,8,0.0
R1_within_bearing,all,S1_resample,20,,9,0.0
R1_within_bearing,all,S1_resample,20,,10,0.0
R1_within_bearing,all,S1_resample,20,,11,0.0
R1_within_bearing,all,S1_resample,20,,12,0.0
R1_within_bearing,all,S1_resample,20,,13,0.0
R1_within_bearing,all,S1_resample,20,,14,0.0
R1_within_bearing,all,S1_resample,20,,15,0.0
R1_within_bearing,all,S1_resample,20,,16,0.0
R1_within_bearing,all,S1_resample,20,,17,0.0
R1_within_bearing,all,S1_resample,20,,18,0.0
R1_within_bearing,all,S1_resample,20,,19,0.0
R1_within_bearing,all,S1_resample,20,,20,0.3333333333333333
R1_within_bearing,all,S1_resample,20,,21,0.0
R1_within_bearing,all,S1_resample,20,,22,0.0
R1_within_bearing,all,S1_resample,20,,23,0.08333333333333333
R1_within_bearing,all,S1_resample,20,,24,0.0
R1_within_bearing,all,S1_resample,20,,25,0.0
R1_within_bearing,all,S1_resample,20,,26,0.0
R1_within_bearing,all,S1_resample,20,,27,0.4166666666666667
R1_within_bearing,all,S1_resample,20,,28,0.0
R1_within_bearing,all,S1_resample,20,,29,0.08333333333333333
R1_within_bearing,all,S1_resample,20,,30,0.8333333333333334
R1_within_bearing,all,S1_resample,20,,31,0.0
R1_within_bearing,all,S1_resample,20,,32,0.0
R1_within_bearing,all,S1_resample,20,,33,0.0
R1_within_bearing,all,S1_resample,20,,34,0.0
R1_within_bearing,all,S1_resample,20,,35,0.0
R1_within_bearing,all,S1_resample,20,,36,0.0
R1_within_bearing,all,S1_resample,20,,37,0.0
R1_within_bearing,all,S1_resample,20,,38,0.0
R1_within_bearing,all,S1_resample,20,,39,0.0
R1_within_bearing,all,S1_resample,20,,40,0.0
R1_within_bearing,all,S1_resample,20,,41,0.0
R1_within_bearing,all,S1_resample,20,,42,0.0
R1_within_bearing,all,S1_resample,20,,43,0.0
R1_within_bearing,all,S1_resample,20,,44,0.0
R1_within_bearing,all,S1_resample,20,,45,0.0
R1_within_bearing,all,S1_resample,20,,46,0.0
R1_within_bearing,all,S1_resample,20,,47,0.0
R1_within_bearing,all,S1_resample,20,,48,0.0
R1_within_bearing,all,S1_resample,20,,49,0.0
R1_within_bearing,all,S1_resample,20,,50,0.0
R1_within_bearing,all,S1_resample,20,,51,0.0
R1_within_bearing,all,S1_resample,20,,52,0.0
R1_within_bearing,all,S1_resample,20,,53,0.041666666666666664
R1_within_bearing,all,S1_resample,20,,54,0.0
R1_within_bearing,all,S1_resample,20,,55,0.0
R1_within_bearing,all,S1_resample,20,,56,0.0
R1_within_bearing,all,S1_resample,20,,57,0.0
R1_within_bearing,all,S1_resample,20,,58,0.0
R1_within_bearing,all,S1_resample,20,,59,0.041666666666666664
R1_within_bearing,all,S1_resample,20,,60,0.0
R1_within_bearing,all,S1_resample,20,,61,0.0
R1_within_bearing,all,S1_resample,20,,62,0.0
R1_within_bearing,all,S1_resample,20,,63,0.0
R1_within_bearing,all,S1_resample,20,,64,0.0
R1_within_bearing,all,S1_resample,20,,65,0.0
R1_within_bearing,all,S1_resample,20,,66,0.8333333333333334
R1_within_bearing,all,S1_resample,20,,67,0.0
R1_within_bearing,all,S1_resample,20,,68,0.0
R1_within_bearing,all,S1_resample,20,,69,0.0
R1_within_bearing,all,S1_resample,20,,70,0.0
R1_within_bearing,all,S1_resample,20,,71,0.041666666666666664
R1_within_bearing,all,S1_resample,20,,72,0.0
R1_within_bearing,all,S1_resample,20,,73,0.0
R1_within_bearing,all,S1_resample,20,,74,0.0
R1_within_bearing,all,S1_resample,20,,75,0.0
R1_within_bearing,all,S1_resample,20,,76,0.0
R1_within_bearing,all,S1_resample,20,,77,0.0
R1_within_bearing,all,S1_resample,20,,78,0.0
R1_within_bearing,all,S1_resample,20,,79,0.0
R1_within_bearing,all,S1_resample,20,,80,0.041666666666666664
R1_within_bearing,all,S1_resample,20,,81,0.041666666666666664
R1_within_bearing,all,S1_resample,20,,82,0.0
R1_within_bearing,all,S1_resample,20,,83,0.0
R1_within_bearing,all,S1_resample,20,,84,0.0
R1_within_bearing,all,S1_resample,20,,85,0.0
R1_within_bearing,all,S1_resample,20,,86,0.0
R1_within_bearing,all,S1_resample,20,,87,0.0
R1_within_bearing,all,S1_resample,20,,88,0.0
R1_within_bearing,all,S1_resample,20,,89,0.0
R1_within_bearing,all,S1_resample,20,,90,0.0
R1_within_bearing,all,S1_resample,20,,91,0.3333333333333333
R1_within_bearing,all,S1_resample,20,,92,0.0
R1_within_bearing,all,S1_resample,20,,93,0.0
R1_within_bearing,all,S1_resample,20,,94,0.0
R1_within_bearing,all,S1_resample,20,,95,0.0
R1_within_bearing,all,S1_resample,20,,96,0.0
R1_within_bearing,all,S1_resample,20,,97,0.0
R1_within_bearing,all,S1_resample,20,,98,0.0
R1_within_bearing,all,S1_resample,20,,99,0.0
R1_within_bearing,all,S1_resample,40,,0,0.0
R1_within_bearing,all,S1_resample,40,,1,0.0
R1_within_bearing,all,S1_resample,40,,2,0.0
R1_within_bearing,all,S1_resample,40,,3,0.0
R1_within_bearing,all,S1_resample,40,,4,0.0
R1_within_bearing,all,S1_resample,40,,5,0.0
R1_within_bearing,all,S1_resample,40,,6,0.0
R1_within_bearing,all,S1_resample,40,,7,0.0
R1_within_bearing,all,S1_resample,40,,8,0.0
R1_within_bearing,all,S1_resample,40,,9,0.0
R1_within_bearing,all,S1_resample,40,,10,0.0
R1_within_bearing,all,S1_resample,40,,11,0.0
R1_within_bearing,all,S1_resample,40,,12,0.0
R1_within_bearing,all,S1_resample,40,,13,0.0
R1_within_bearing,all,S1_resample,40,,14,0.0
R1_within_bearing,all,S1_resample,40,,15,0.0
R1_within_bearing,all,S1_resample,40,,16,0.0
R1_within_bearing,all,S1_resample,40,,17,0.0
R1_within_bearing,all,S1_resample,40,,18,0.0
R1_within_bearing,all,S1_resample,40,,19,0.0
R1_within_bearing,all,S1_resample,40,,20,0.0
R1_within_bearing,all,S1_resample,40,,21,0.0
R1_within_bearing,all,S1_resample,40,,22,0.0
R1_within_bearing,all,S1_resample,40,,23,0.0
R1_within_bearing,all,S1_resample,40,,24,0.0
R1_within_bearing,all,S1_resample,40,,25,0.0
R1_within_bearing,all,S1_resample,40,,26,0.0
R1_within_bearing,all,S1_resample,40,,27,0.0
R1_within_bearing,all,S1_resample,40,,28,0.0
R1_within_bearing,all,S1_resample,40,,29,0.0
R1_within_bearing,all,S1_resample,40,,30,0.0
R1_within_bearing,all,S1_resample,40,,31,0.0
R1_within_bearing,all,S1_resample,40,,32,0.0
R1_within_bearing,all,S1_resample,40,,33,0.0
R1_within_bearing,all,S1_resample,40,,34,0.0
R1_within_bearing,all,S1_resample,40,,35,0.0
R1_within_bearing,all,S1_resample,40,,36,0.0
R1_within_bearing,all,S1_resample,40,,37,0.0
R1_within_bearing,all,S1_resample,40,,38,0.0
R1_within_bearing,all,S1_resample,40,,39,0.0
R1_within_bearing,all,S1_resample,40,,40,0.0
R1_within_bearing,all,S1_resample,40,,41,0.0
R1_within_bearing,all,S1_resample,40,,42,0.0
R1_within_bearing,all,S1_resample,40,,43,0.0
R1_within_bearing,all,S1_resample,40,,44,0.0
R1_within_bearing,all,S1_resample,40,,45,0.0
R1_within_bearing,all,S1_resample,40,,46,0.0
R1_within_bearing,all,S1_resample,40,,47,0.0
R1_within_bearing,all,S1_resample,40,,48,0.0
R1_within_bearing,all,S1_resample,40,,49,0.0
R1_within_bearing,all,S1_resample,40,,50,0.3333333333333333
R1_within_bearing,all,S1_resample,40,,51,0.0
R1_within_bearing,all,S1_resample,40,,52,0.0
R1_within_bearing,all,S1_resample,40,,53,0.0
R1_within_bearing,all,S1_resample,40,,54,0.0
R1_within_bearing,all,S1_resample,40,,55,0.0
R1_within_bearing,all,S1_resample,40,,56,0.0
R1_within_bearing,all,S1_resample,40,,57,0.0
R1_within_bearing,all,S1_resample,40,,58,0.0
