arm,held_out,n_train,k_bearings,test_fp,dataset,rule
S3_units,Bearing1_2,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.023255813953488372,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.16279069767441862,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.4883720930232558,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.16279069767441862,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.2558139534883721,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.16279069767441862,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.09302325581395349,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.046511627906976744,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.18604651162790697,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.06976744186046512,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.23255813953488372,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.11627906976744186,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.3023255813953488,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.2558139534883721,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.046511627906976744,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_2,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
