dataset,condition,held_out,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,2,20,0.0
PRONOSTIA,C1,Bearing1_1,2,20,0.0
PRONOSTIA,C1,Bearing1_1,2,20,0.0
PRONOSTIA,C1,Bearing1_1,2,20,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.15
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.13333333333333333
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.03333333333333333
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.13333333333333333
PRONOSTIA,C1,Bearing1_1,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,3,18,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.05
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.16666666666666666
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_1,4,20,0.0
PRONOSTIA,C1,Bearing1_2,1,20,0.1
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.0
PRONOSTIA,C1,Bearing1_2,1,20,0.36666666666666664
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.0
PRONOSTIA,C1,Bearing1_2,1,20,0.55
PRONOSTIA,C1,Bearing1_2,1,20,0.7
PRONOSTIA,C1,Bearing1_2,1,20,0.38333333333333336
PRONOSTIA,C1,Bearing1_2,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,1,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.3333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,1,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.26666666666666666
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.43333333333333335
PRONOSTIA,C1,Bearing1_2,1,20,0.05
PRONOSTIA,C1,Bearing1_2,1,20,0.0
PRONOSTIA,C1,Bearing1_2,1,20,0.1
PRONOSTIA,C1,Bearing1_2,1,20,0.43333333333333335
PRONOSTIA,C1,Bearing1_2,1,20,0.05
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.0
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.5166666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,1,20,0.6166666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.16666666666666666
PRONOSTIA,C1,Bearing1_2,1,20,0.05
PRONOSTIA,C1,Bearing1_2,1,20,0.0
PRONOSTIA,C1,Bearing1_2,1,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,1,20,0.05
PRONOSTIA,C1,Bearing1_2,1,20,0.0
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.1
PRONOSTIA,C1,Bearing1_2,2,20,0.05
PRONOSTIA,C1,Bearing1_2,2,20,0.11666666666666667
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.1
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,2,20,0.05
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.16666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.0
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.05
PRONOSTIA,C1,Bearing1_2,2,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_2,2,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.21666666666666667
PRONOSTIA,C1,Bearing1_2,2,20,0.0
PRONOSTIA,C1,Bearing1_2,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_2,2,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.05
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.0
PRONOSTIA,C1,Bearing1_2,2,20,0.21666666666666667
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.05
PRONOSTIA,C1,Bearing1_2,2,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_2,2,20,0.1
