dataset,condition,held_out,detector,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.05
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8333333333333334
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8333333333333334
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.65
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.65
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.5333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.16666666666666666
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8333333333333334
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.65
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.65
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.23333333333333334
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,2,20,0.16666666666666666
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,2,20,0.7833333333333333
