component,repeat,seed,threshold,test_fp,test_pct_mean
A_fit_composition,0,0,0.5888682675323038,0.07142857142857142,0.07142857142857142
A_fit_composition,1,0,0.5973761154159546,0.0,0.0
A_fit_composition,2,0,0.6071662613963396,0.0,0.0
A_fit_composition,3,0,0.5927670777897281,0.0,0.0
A_fit_composition,4,0,0.5893626113010594,0.0,0.0
A_fit_composition,5,0,0.6056137213500619,0.0,0.0
A_fit_composition,6,0,0.604602941213933,0.0,0.0
A_fit_composition,7,0,0.6064051991852583,0.0,0.0
A_fit_composition,8,0,0.5785514619055767,0.07142857142857142,0.07142857142857142
A_fit_composition,9,0,0.598567163492079,0.07142857142857142,0.07142857142857142
A_fit_composition,10,0,0.6010060370530945,0.0,0.0
A_fit_composition,11,0,0.59556376438892,0.0,0.0
A_fit_composition,12,0,0.5927664480174637,0.07142857142857142,0.07142857142857142
A_fit_composition,13,0,0.5877177822744043,0.0,0.0
A_fit_composition,14,0,0.5763238143925379,0.21428571428571427,0.21428571428571427
A_fit_composition,15,0,0.5951345101564863,0.07142857142857142,0.07142857142857142
A_fit_composition,16,0,0.5847760396488547,0.07142857142857142,0.07142857142857142
A_fit_composition,17,0,0.6069208091719838,0.0,0.0
A_fit_composition,18,0,0.5983409639361115,0.07142857142857142,0.07142857142857142
A_fit_composition,19,0,0.6057848706065346,0.0,0.0
A_fit_composition,20,0,0.595164214518083,0.07142857142857142,0.07142857142857142
A_fit_composition,21,0,0.6186272868449436,0.0,0.0
A_fit_composition,22,0,0.578705466550878,0.21428571428571427,0.21428571428571427
A_fit_composition,23,0,0.5900756194857044,0.0,0.0
A_fit_composition,24,0,0.6048023969163093,0.0,0.0
A_fit_composition,25,0,0.5771083384099268,0.07142857142857142,0.07142857142857142
A_fit_composition,26,0,0.5947757374304585,0.07142857142857142,0.07142857142857142
A_fit_composition,27,0,0.6026279059071522,0.0,0.0
A_fit_composition,28,0,0.5809711750221468,0.07142857142857142,0.07142857142857142
A_fit_composition,29,0,0.5995329470139222,0.0,0.0
A_fit_composition,30,0,0.5880072265758443,0.0,0.0
A_fit_composition,31,0,0.6021919153850863,0.0,0.0
A_fit_composition,32,0,0.585263905182327,0.0,0.0
A_fit_composition,33,0,0.5913286764627559,0.07142857142857142,0.07142857142857142
A_fit_composition,34,0,0.578868916295987,0.07142857142857142,0.07142857142857142
A_fit_composition,35,0,0.5770550513371097,0.14285714285714285,0.14285714285714285
A_fit_composition,36,0,0.597229466691123,0.0,0.0
A_fit_composition,37,0,0.5879262072237242,0.07142857142857142,0.07142857142857142
A_fit_composition,38,0,0.5866889739585985,0.07142857142857142,0.07142857142857142
A_fit_composition,39,0,0.5939592427258358,0.0,0.0
A_fit_composition,40,0,0.6025184518236519,0.0,0.0
A_fit_composition,41,0,0.5994282475767905,0.07142857142857142,0.07142857142857142
A_fit_composition,42,0,0.5926911378758144,0.07142857142857142,0.07142857142857142
A_fit_composition,43,0,0.582958148818101,0.07142857142857142,0.07142857142857142
A_fit_composition,44,0,0.587923370521262,0.07142857142857142,0.07142857142857142
A_fit_composition,45,0,0.5942091921338819,0.07142857142857142,0.07142857142857142
A_fit_composition,46,0,0.6078369514460565,0.0,0.0
A_fit_composition,47,0,0.596845363771633,0.07142857142857142,0.07142857142857142
A_fit_composition,48,0,0.6007340828480604,0.07142857142857142,0.07142857142857142
A_fit_composition,49,0,0.6074954692469712,0.0,0.0
B_random_seed,0,0,0.5888682675323038,0.07142857142857142,0.07142857142857142
B_random_seed,1,1,0.5901484923181498,0.0,0.0
B_random_seed,2,2,0.5925430722626088,0.07142857142857142,0.07142857142857142
B_random_seed,3,3,0.5836466050774226,0.14285714285714285,0.14285714285714285
B_random_seed,4,4,0.593324239386214,0.0,0.0
B_random_seed,5,5,0.5867060511159551,0.0,0.0
B_random_seed,6,6,0.5796110174825787,0.07142857142857142,0.07142857142857142
B_random_seed,7,7,0.5973834836594656,0.07142857142857142,0.07142857142857142
B_random_seed,8,8,0.5808858656397773,0.14285714285714285,0.14285714285714285
B_random_seed,9,9,0.5849391593524821,0.07142857142857142,0.07142857142857142
B_random_seed,10,10,0.5991668075933938,0.0,0.0
B_random_seed,11,11,0.5910790352361773,0.0,0.0
B_random_seed,12,12,0.5870463275132638,0.0,0.0
B_random_seed,13,13,0.5951311952254829,0.0,0.0
B_random_seed,14,14,0.5841729498296006,0.07142857142857142,0.07142857142857142
B_random_seed,15,15,0.5927687789184656,0.0,0.0
B_random_seed,16,16,0.5931630876280715,0.07142857142857142,0.07142857142857142
B_random_seed,17,17,0.5838252806774495,0.07142857142857142,0.07142857142857142
B_random_seed,18,18,0.5850857813818103,0.0,0.0
B_random_seed,19,19,0.5828995982489537,0.14285714285714285,0.14285714285714285
B_random_seed,20,20,0.6058397061593243,0.0,0.0
B_random_seed,21,21,0.5975932138619442,0.0,0.0
B_random_seed,22,22,0.5892060504458533,0.07142857142857142,0.07142857142857142
B_random_seed,23,23,0.5850342531388819,0.0,0.0
B_random_seed,24,24,0.5827192798021029,0.07142857142857142,0.07142857142857142
B_random_seed,25,25,0.5928526345762917,0.0,0.0
B_random_seed,26,26,0.5811004094024043,0.0,0.0
B_random_seed,27,27,0.5833642219971379,0.07142857142857142,0.07142857142857142
B_random_seed,28,28,0.5962195065828217,0.0,0.0
B_random_seed,29,29,0.596753262304043,0.0,0.0
B_random_seed,30,30,0.5845191375754419,0.07142857142857142,0.07142857142857142
B_random_seed,31,31,0.5874922151228257,0.0,0.0
B_random_seed,32,32,0.5914447154559196,0.0,0.0
B_random_seed,33,33,0.5967519564696945,0.0,0.0
B_random_seed,34,34,0.5903006670412518,0.0,0.0
B_random_seed,35,35,0.5821501867110724,0.07142857142857142,0.07142857142857142
B_random_seed,36,36,0.5920131909283874,0.07142857142857142,0.07142857142857142
B_random_seed,37,37,0.6002645101856946,0.0,0.0
B_random_seed,38,38,0.5920880165909007,0.0,0.0
B_random_seed,39,39,0.589073849324218,0.07142857142857142,0.07142857142857142
B_random_seed,40,40,0.5974703456719539,0.0,0.0
B_random_seed,41,41,0.592245419873865,0.0,0.0
B_random_seed,42,42,0.5876683398318593,0.07142857142857142,0.07142857142857142
B_random_seed,43,43,0.6047075613640503,0.07142857142857142,0.07142857142857142
B_random_seed,44,44,0.5879525421928283,0.0,0.0
B_random_seed,45,45,0.5866343771941804,0.0,0.0
B_random_seed,46,46,0.5901565088675654,0.0,0.0
B_random_seed,47,47,0.5905529715447317,0.0,0.0
B_random_seed,48,48,0.5874475543671828,0.0,0.0
B_random_seed,49,49,0.5904472532557982,0.07142857142857142,0.07142857142857142
C_both,0,0,0.5888682675323038,0.07142857142857142,0.07142857142857142
C_both,1,1,0.6039062672493289,0.0,0.0
C_both,2,2,0.6002116410544523,0.07142857142857142,0.07142857142857142
C_both,3,3,0.5935956204097885,0.07142857142857142,0.07142857142857142
C_both,4,4,0.6153956571747862,0.0,0.0
C_both,5,5,0.6039637127848804,0.0,0.0
C_both,6,6,0.5937268487641826,0.0,0.0
C_both,7,7,0.6119245544155191,0.0,0.0
C_both,8,8,0.5788113888592074,0.07142857142857142,0.07142857142857142
C_both,9,9,0.5913760065405357,0.07142857142857142,0.07142857142857142
C_both,10,10,0.6049833276084317,0.0,0.0
C_both,11,11,0.6059131112319942,0.0,0.0
C_both,12,12,0.5923255782169388,0.0,0.0
C_both,13,13,0.5976075517049754,0.0,0.0
C_both,14,14,0.5763180450917608,0.21428571428571427,0.21428571428571427
C_both,15,15,0.5948521577137154,0.07142857142857142,0.07142857142857142
C_both,16,16,0.5872250869393029,0.07142857142857142,0.07142857142857142
C_both,17,17,0.5983692573421261,0.07142857142857142,0.07142857142857142
C_both,18,18,0.5907534533965408,0.07142857142857142,0.07142857142857142
C_both,19,19,0.5920692131649602,0.07142857142857142,0.07142857142857142
C_both,20,20,0.5975297704362273,0.07142857142857142,0.07142857142857142
