dataset,run,window_sec,held_out,feature_group,scheme,n_train_windows,delta,condition_number,threshold,inflation_ratio,fp,n_windows,fp_rate
IMS 1st_test,1st_test,0.25,2003.10.22.12.19.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.79117234549187,1.9858499568330226,0.3498121517253933,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.19.13.txt,RMS + centroid (problem),empirical,77,0.0,2678970013.4266815,2.70381517122228,0.3625666987597889,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.19.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0353,55.723930097884725,2.1193756147409673,0.2016569906572656,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.19.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.99999634187779,2.1111935443208303,0.20165699927541283,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.19.13.txt,crest + centroid (counterexample),empirical,77,0.0,20412.385470145025,2.517099821733032,0.2771139368007845,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.19.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.0353,55.56375135432373,2.120123943866025,0.20199922086260827,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.19.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.52221657506924,2.1125225953377575,0.2022650954827818,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,RMS + kurtosis (control),empirical,77,0.0,46178.996468451194,2.8456092430996174,0.3996219287251592,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.0317,61.95801635154615,2.017389453628631,0.37672163811565984,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.78823629483009,2.0116718450626188,0.3768638281325916,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,RMS + centroid (problem),empirical,77,0.0,2615395354.700843,2.719288920208787,0.4991594431092728,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0378,51.865036980572356,2.1613797068664384,0.41203530345749373,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.99999625295666,2.151624836190037,0.41203531052631903,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,crest + centroid (counterexample),empirical,77,0.0,20622.59903098199,2.580625978034747,0.562492902742255,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.0378,51.7271848065252,2.1621423920913427,0.41192017075062326,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.24.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.52706352510016,2.1530804764442335,0.41181490792873743,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,RMS + kurtosis (control),empirical,77,0.0,54849.89395048721,2.882366638948658,0.6421193638211878,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.0322,61.12816326277044,1.9948643032388749,0.28310944648558156,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.8216524611245,1.9889952502561319,0.2830724895883673,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,RMS + centroid (problem),empirical,77,0.0,2443902311.0756044,2.780776450403625,0.733332123909906,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0361,54.40563116589809,2.144655349354786,0.5074571045644541,2,7,0.2857142857142857
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.9999959900199,2.1359195295155704,0.5074571046037738,2,7,0.2857142857142857
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,crest + centroid (counterexample),empirical,77,0.0,18999.959058062264,2.7976210102722945,0.4405758912894094,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.0361,54.24149705018978,2.14541988044509,0.5074917838764464,2,7,0.2857142857142857
IMS 1st_test,1st_test,0.25,2003.10.22.12.29.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.4868830301061,2.1372804660497664,0.5075295140215603,2,7,0.2857142857142857
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,RMS + kurtosis (control),empirical,77,0.0,52618.9821100713,2.7909537879990585,0.3835337092325882,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.0284,69.2656379395354,1.9540312783124567,0.24605934894806936,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.81410517611354,1.9500451620309913,0.2460527143864503,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,RMS + centroid (problem),empirical,77,0.0,2771100007.6873727,2.7423955798429294,0.4824555810406922,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0355,55.344268255849016,2.1084791999056813,0.2966545984309577,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.99999646349836,2.100212203921996,0.2966546070907051,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,crest + centroid (counterexample),empirical,77,0.0,21712.411031444517,2.57511498145102,0.45117445856046406,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.0355,55.19539668971697,2.109292182542847,0.29664808431979756,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.34.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.55069390119365,2.101666650964307,0.29663918092343317,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,RMS + kurtosis (control),empirical,77,0.0,50627.50892516983,2.798988896607986,0.6336708004765965,1,7,0.14285714285714285
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.031,63.40667560472578,2.046569326558129,0.4432455115872486,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.80680712693128,2.0410879171230443,0.4437460199079551,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,RMS + centroid (problem),empirical,77,0.0,2957339014.1866,2.654691316781933,0.7547115998125412,1,7,0.14285714285714285
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0384,51.139890854512494,2.1843576884203317,0.47027175865506765,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.99999668621024,2.1742075446718983,0.47027176897614814,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,crest + centroid (counterexample),empirical,77,0.0,19806.023378198697,2.6177405085664747,0.47268250962213537,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.0384,51.0001999330385,2.185242433856446,0.4701175284790283,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.39.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.50766196985562,2.175920876313114,0.4699683898612529,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,RMS + kurtosis (control),empirical,77,0.0,45665.46179110564,2.8242013384495555,0.4769161511161191,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.0329,59.6633196437879,2.0421701615544,0.6451280620249792,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.78586004037953,2.035737611100781,0.6450679553989063,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,RMS + centroid (problem),empirical,77,0.0,2529545583.013556,2.7552395271239982,0.3919742007530313,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.036,54.55090630324504,2.1902253767670055,0.3255117802028724,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.99999612578652,2.1813563614098506,0.3255117809437244,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,crest + centroid (counterexample),empirical,77,0.0,20796.77047892106,2.613764221368108,0.6640242231992521,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.036,54.40042547246649,2.1908375062745318,0.3257974671098176,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.44.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.53100556833324,2.1824639002169888,0.32602483888801354,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,RMS + kurtosis (control),empirical,77,0.0,45743.774532874624,2.798200951419193,0.2649527756105608,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.0317,62.092158192387004,2.0051571721226575,0.33008789398096194,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.78622585347722,1.9994773593399104,0.33006134553823313,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,RMS + centroid (problem),empirical,77,0.0,2532745196.1959534,2.4628731760380793,0.46771447570967856,1,7,0.14285714285714285
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0346,56.840949376225915,2.0574531267464096,0.4784155723884738,1,7,0.14285714285714285
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.9999961306808,2.0498652252541594,0.4784155745400059,1,7,0.14285714285714285
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,crest + centroid (counterexample),empirical,77,0.0,19809.4255848797,2.5335287441455407,0.49659964638559817,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.0346,56.66897554915646,2.0585517974587377,0.47861939588265157,1,7,0.14285714285714285
IMS 1st_test,1st_test,0.25,2003.10.22.12.49.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.50774610688232,2.051777431539958,0.4787620403162331,1,7,0.14285714285714285
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,RMS + kurtosis (control),empirical,77,0.0,48163.21138851545,2.734798689761025,0.32667937707105504,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.0286,68.92438537548635,1.9933535322234273,0.30570727287427185,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.79694258265313,1.9892258969626975,0.3056892915661223,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,RMS + centroid (problem),empirical,77,0.0,2563720300.641702,2.679933309154233,0.2397450678556773,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0362,54.172708162837566,2.148773708412995,0.2535451451379417,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,RMS + centroid (problem),cond_target,77,0.02,98.99999617743026,2.1399380880893437,0.2535451449962601,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,crest + centroid (counterexample),empirical,77,0.0,21432.829178467,2.674960486274402,0.3903118057717394,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,crest + centroid (counterexample),ledoit_wolf,77,0.0363,54.02868678800081,2.1491058187592396,0.25356270905195855,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.54.13.txt,crest + centroid (counterexample),cond_target,77,0.02,98.54485984823805,2.140543021152023,0.2535782592756289,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.59.13.txt,RMS + kurtosis (control),empirical,77,0.0,48189.49850440533,2.7779120152528956,0.3950636612802912,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.59.13.txt,RMS + kurtosis (control),ledoit_wolf,77,0.0302,65.1129479698629,2.0069654212287724,0.4179105679609107,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.59.13.txt,RMS + kurtosis (control),cond_target,77,0.02,98.79705312230607,2.0020046732676553,0.4181895533436395,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.59.13.txt,RMS + centroid (problem),empirical,77,0.0,2612204270.948313,2.71438482473895,0.32354658242363904,0,7,0.0
IMS 1st_test,1st_test,0.25,2003.10.22.12.59.13.txt,RMS + centroid (problem),ledoit_wolf,77,0.0339,57.91967659948754,2.102845795765168,0.27336071347465407,0,7,0.0
