n_files,dataset_index,n_replicates,modal_share,n_distinct_cfg,test_fp_mean,test_fp_std
6,0,15,0.8,2,0.009523809523809523,0.02513326966246417
6,1,15,0.7333333333333333,4,0.04761904761904761,0.04408667141774054
6,2,15,0.7333333333333333,4,0.042857142857142844,0.03622089663122214
6,3,15,0.6,4,0.009523809523809523,0.02513326966246417
6,4,15,0.6,4,0.03809523809523809,0.0653911011738662
12,0,15,0.6,3,0.019047619047619046,0.042401202836047404
12,1,15,0.8,3,0.0047619047619047615,0.018442777839082936
12,2,15,0.8666666666666667,3,0.07619047619047617,0.0326955505869331
12,3,15,0.9333333333333333,2,0.033333333333333326,0.053087382354086186
12,4,15,0.9333333333333333,2,0.0,0.0
24,0,15,0.7333333333333333,3,0.0,0.0
24,1,15,0.9333333333333333,2,0.0,0.0
24,2,15,0.8666666666666667,2,0.009523809523809523,0.025133269662464174
24,3,15,0.9333333333333333,2,0.09047619047619046,0.032695550586933096
24,4,15,0.7333333333333333,5,0.0047619047619047615,0.018442777839082936
48,0,15,0.8666666666666667,3,0.0857142857142857,0.04829452884162953
48,1,15,0.9333333333333333,2,0.019047619047619046,0.0326955505869331
48,2,15,1.0,1,0.0,0.0
48,3,15,0.6666666666666666,4,0.014285714285714285,0.02957423825752947
48,4,15,0.6666666666666666,5,0.06666666666666665,0.018442777839082942
